skill,total_mentions,percentage
sql,384849,57.55
python,380909,56.96
aws,145381,21.74
azure,132527,19.82
r,130892,19.57
tableau,127213,19.02
excel,127018,18.99
spark,114609,17.14
power bi,98147,14.68
java,85612,12.80
hadoop,64842,9.70
scala,56886,8.51
snowflake,55015,8.23
databricks,53182,7.95
gcp,50727,7.59
