skill,total_mentions,percentage
sql,92428,57.99
excel,66860,41.95
python,57190,35.88
tableau,46455,29.14
power bi,39380,24.71
r,29996,18.82
sas,13999,8.78
powerpoint,13822,8.67
word,13562,8.51
sap,11280,7.08
azure,10913,6.85
oracle,10387,6.52
aws,9047,5.68
sql server,8288,5.20
go,7905,4.96
